,Unnamed: 0,temperature,energy,std_energy,abs_magnetization,std_magnetization,heat,std_heat,susceptibility,std_susceptibility
0,0,1.0,-757.056,4.582233516528812,0.9973,0.0043255057507764,20.996864,1.3279582792158735,1.8710000000000036e-05,1.1833243004350097e-06
1,1,1.1224489795918366,-754.32,6.322784196855053,0.9936999999999998,0.0104359954005355,31.730981024793383,2.0068434485986173,9.702890909090913e-05,6.13664703217381e-06
2,2,1.2448979591836735,-748.472,8.77184222384329,0.98883,0.0105157548468952,49.64941242031712,3.140104554745106,8.88274409836067e-05,5.617940644647691e-06
3,3,1.3673469387755102,-740.752,12.152797867158,0.98185,0.0134695025891827,78.99418153174429,4.99603071082241,0.000132685783582,8.39178578487157e-06
4,4,1.489795918367347,-720.436,18.997523628094267,0.93353,0.072286161192859,162.60744520623,10.2841978270543,0.0035073858342465,0.0002218265573845
5,5,1.6122448979591837,-713.636,21.29759385470575,0.95143,0.0293087887842537,174.50145763563532,11.036441222959768,0.0005328006316455,3.369727069552769e-05
6,6,1.7346938775510203,-688.12,26.939368960686515,0.91246,0.0587447733845318,241.1732553079585,15.253135949808842,0.0019893702541176,0.0001258188222479
7,7,1.8571428571428568,-657.456,30.533261601080223,0.87146,0.0630354535162554,270.30605405917163,17.095655923191693,0.0021395599076923,0.0001353176499737
8,8,1.9795918367346936,-619.536,36.61727330099826,0.82599,0.0678282382197857,342.1532696677649,21.6396728204788,0.0023240497432989,0.000146985811687
9,9,2.1020408163265305,-581.72,41.20234944757399,0.75739,0.0814637213733819,384.2038150249789,24.29918282409909,0.0031570927873786,0.0001996720798521
10,10,2.224489795918368,-483.424,40.06759568529162,0.05088,0.3295812883038113,324.4335283077181,20.51897797554205,0.0488308940770642,0.0030883369093189
11,11,2.346938775510204,-447.308,41.68579057664614,0.1073399999999999,0.3127112476390959,315.4805316851417,19.95274075131932,0.0416663295269565,0.0026352100608861
12,12,2.4693877551020407,-410.448,41.19232083774839,0.18313,0.1637805028078739,278.2620256605424,17.59883574839067,0.0108626330735537,0.0006870132379821
13,13,2.591836734693877,-388.276,36.45901567513857,0.0259799999999999,0.2077966303865392,197.8766716736313,12.51481956603995,0.0166597837826771,0.0010536572415839
14,14,2.7142857142857144,-357.52,38.1071331905196,0.0212999999999999,0.2051341268536271,197.10672132963987,12.466123630595089,0.0155031615789473,0.0009805060304617
15,15,2.836734693877551,-334.156,36.98691206359352,0.02019,0.1723000693557608,170.00383133709437,10.751986359606532,0.0104653120942446,0.0006618844528463
16,16,2.959183673469388,-310.152,36.054304819258405,0.03107,0.1655777916871704,148.4466522376219,9.38859064195632,0.0092647189648275,0.0005859522762042
17,17,3.0816326530612246,-289.172,36.57095043883875,0.0031799999999999,0.1274977944907283,140.8350525334854,8.90719080790562,0.0052750244529801,0.00033362183969
18,18,3.204081632653061,-278.952,35.50399549346524,0.0013199999999999,0.1148801880221302,122.78556550350928,7.765641015657772,0.0041189517350318,0.0002605053811
19,19,3.326530612244898,-263.636,34.353042136032144,0.0032699999999999,0.1282628438013129,106.64668377071024,6.744928512383173,0.0049454999871165,0.0003127808825524
20,20,3.4489795918367347,-252.436,33.22182872750987,0.0008799999999999,0.1113706675925039,92.78244667567662,5.868077167565121,0.0035962594934911,0.0002274474211287
21,21,3.571428571428571,-246.856,35.399255133406406,0.0112999999999999,0.1213927922077748,98.2436094976,6.21347143137133,0.0041261388,0.0002609599309998
22,22,3.693877551020408,-232.808,34.11725569268431,0.0133,0.1140758957887248,85.30670961008516,5.39527004124887,0.003522940276243,0.0002228103066734
23,23,3.816326530612245,-225.364,34.33557199174058,0.00949,0.1065513486540644,80.94639655420515,5.119499629889872,0.0029749000272727,0.0001881491979495
24,24,3.938775510204081,-211.08,34.278879794999135,0.0064599999999999,0.0936433040852361,75.74095631023653,4.790278681993004,0.0022263437906735,0.000140806344662
25,25,4.061224489795919,-205.016,30.97185406138935,0.00516,0.0931985750964037,58.15946671407288,3.6783276463443824,0.0021387575155778,0.0001352669022405
26,26,4.183673469387755,-201.684,32.25405624103734,0.00359,0.0988163038167285,59.436484705389645,3.759093355655864,0.0023339923565853,0.0001476146377646
27,27,4.306122448979592,-190.96,31.40405069413817,0.01911,0.0884226096651755,53.18615427326432,3.3637877497722544,0.0018156840620853,0.0001148339429491
28,28,4.428571428571429,-185.512,32.464409065929416,0.0110099999999999,0.0914228084232813,53.73876685119667,3.398738037970725,0.0018873196548387,0.0001193645756418
29,29,4.551020408163265,-182.044,29.75321938883253,0.00762,0.0867671343309204,42.74155940525649,2.703213569360045,0.0016542522170403,0.0001046240966046
30,30,4.673469387755102,-176.072,32.00516858258991,0.00429,0.088577344168811,46.89876793379228,2.9661385225290493,0.001678826851965,0.0001061783329851
31,31,4.795918367346939,-170.82,32.36083435265537,0.00698,0.0871032697434487,45.529811925758246,2.879558142489863,0.0015819659591489,0.0001000523122352
32,32,4.918367346938775,-163.732,31.181792379528154,0.00167,0.0757447100463128,40.19390724291938,2.542085898983279,0.0011664970701244,7.377575251013029e-05
33,33,5.040816326530612,-159.676,30.040489743011847,0.00598,0.0806240634054126,35.51503693920569,2.2461681582580986,0.0012895212161943,8.155648268568991e-05
34,34,5.163265306122449,-155.22,31.12670236308369,0.0119699999999999,0.0736360584224875,36.34271292474496,2.298514983836672,0.0010501627901185,6.64181266146414e-05
35,35,5.285714285714286,-152.736,29.911374157667847,0.01168,0.0751663328891332,32.02324681957633,2.025327960472086,0.001068914681081,6.760410033217421e-05
36,36,5.408163265306122,-147.896,30.011017710167717,0.0116199999999999,0.0790055415777906,30.79369886484871,1.947564519885269,0.0011541581298113,7.299536940408112e-05
37,37,5.530612244897959,-142.244,28.913880127025497,0.0119499999999999,0.0777138822862427,27.331680206751,1.728607234653499,0.0010920034225092,6.906436055656667e-05
38,38,5.653061224489796,-142.144,28.065552978696143,0.0073,0.0772192333554277,24.64789465344264,1.5588697326553058,0.0010547931046931,6.671097342141532e-05
39,39,5.775510204081632,-139.524,30.29226673591793,0.0103,0.0762017716329482,27.5095086594164,1.739854093517621,0.0010054020848056,6.358721104535266e-05
40,40,5.8979591836734695,-136.324,29.565639245583714,0.0061899999999999,0.0734495330141723,25.128757852803485,1.589282191714024,0.0009146950211072,5.785039262229505e-05
41,41,6.020408163265306,-133.46,27.836745499429348,0.00418,0.078237635444842,21.378884738868145,1.3521193921807486,0.0010167296691525,6.430363038382944e-05
42,42,6.142857142857142,-128.516,28.027374903832857,0.0051299999999999,0.0749815517310758,20.81728147971877,1.316600483375032,0.0009152472488372,5.788531857056953e-05
43,43,6.26530612244898,-128.74,29.15565811296325,0.0090899999999999,0.0691471033377393,21.655145544249805,1.3695916596455195,0.0007631425833876,4.826537485939724e-05
44,44,6.387755102040816,-121.128,30.480544877019504,0.00522,0.0667499183520099,22.7692611133726,1.440054515147175,0.0006975144677316,4.411468837903938e-05
45,45,6.5102040816326525,-121.616,28.317848505845213,0.00291,0.0702572551413731,18.92044305916805,1.1966338881299,0.0007582069376175,4.7953217212253467e-05
46,46,6.63265306122449,-119.444,29.18881402181322,0.00172,0.0687629376917536,19.36682092746982,1.2248653033483852,0.0007128884258461,4.508702286491789e-05
47,47,6.755102040816326,-117.372,29.76974329751602,0.00416,0.0698297529710652,19.42166022595632,1.2283336451184486,0.0007218535516616,4.565402720665556e-05
48,48,6.877551020408163,-114.432,27.759059350057232,0.00404,0.0715679984350547,16.290778890154883,1.030319323021588,0.0007447386991097,4.710141101715514e-05
49,49,7.0,-110.62,28.563046056049416,0.00195,0.0661766386272376,16.649951020408164,1.053035363094689,0.0006256210714285,3.9567750758183535e-05
